,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
22,N/A,Incendies,lowbrow,Denis Villeneuve,2010,46768,"['Drama', 'Mystery', 'War']",Canada,4.24385263427985,70,128,130,445,633,2361,4403,13573,12529,12496
23,N/A,Mommy,lowbrow,Xavier Dolan,2014,56959,['Drama'],Canada,4.23868923260591,147,260,233,801,1002,3346,5512,14891,12185,18583
24,N/A,The Lion King,lowbrow,Roger Allers,1994,262874,"['Drama', 'Family', 'Animation']",USA,4.23532376728014,347,763,569,3295,3584,22751,24237,75206,37000,95122
25,N/A,Minari,lowbrow,Lee Isaac Chung,2020,543,['Drama'],USA,4.30662983425414,1,0,1,3,5,18,47,141,199,128
26,N/A,The Fifth Seal,lowbrow,Zoltán Fábri,1976,1175,"['War', 'Drama']",Hungary,4.26851063829787,0,6,4,14,18,62,111,303,292,366
27,N/A,The Given Word,lowbrow,Anselmo Duarte,1962,2328,['Drama'],Brazil,4.25085910652921,8,8,23,34,51,122,206,556,514,806
28,N/A,The Second Mother,lowbrow,Anna Muylaert,2015,15679,['Drama'],Brazil,4.23139230818292,22,42,61,185,253,953,1651,4543,2925,5045
29,N/A,The Best of Youth,lowbrow,Marco Tullio Giordana,2003,3386,"['Romance', 'Drama']",Italy,4.2373006497342,10,12,15,43,85,225,325,814,688,1169
30,N/A,Manuel on the Island of Wonders,lowbrow,Raúl Ruiz,1984,594,"['Fantasy', 'Drama']",France,4.30639730639731,0,2,2,7,9,30,65,129,144,207
31,N/A,Little Women,lowbrow,Greta Gerwig,2019,253593,"['Drama', 'Romance']",USA,4.21034097944344,372,854,693,3318,4167,18495,25915,71003,51009,77768
32,N/A,Still Walking,lowbrow,Hirokazu Kore-eda,2008,12790,"['Family', 'Drama']",Japan,4.21536356528538,4,16,15,75,137,664,1477,4206,3178,3019
33,N/A,A Special Day,lowbrow,Ettore Scola,1977,5776,"['Drama', 'Romance']",Italy,4.20957409972299,7,11,8,45,73,304,658,1867,1365,1438
34,N/A,Macario,lowbrow,Roberto Gavaldón,1960,2064,"['Fantasy', 'Mystery', 'Drama']",Mexico,4.23764534883721,0,4,7,21,29,132,223,615,378,656
35,N/A,The Big City,lowbrow,Satyajit Ray,1963,2652,['Drama'],India,4.21474358974359,0,2,5,17,37,147,261,877,702,604
36,N/A,Funeral Parade of Roses,lowbrow,Toshio Matsumoto,1969,8634,['Drama'],Japan,4.20535093815149,13,27,24,88,141,544,994,2453,1944,2408
37,N/A,Moonlight,lowbrow,Barry Jenkins,2016,299647,['Drama'],USA,4.19865708650512,867,1971,987,5714,5322,24596,27616,78176,51282,103116
38,N/A,Shoplifters,lowbrow,Hirokazu Kore-eda,2018,85677,"['Crime', 'Drama']",Japan,4.19847800459867,43,86,112,488,896,4357,9508,29678,22769,17740
39,N/A,Doomed Love,lowbrow,Unknown,1978,357,['Drama'],Portugal,4.30672268907563,1,0,1,5,8,34,19,79,58,152
40,N/A,Your Name.,lowbrow,Makoto Shinkai,2016,146665,"['Drama', 'Animation', 'Romance']",Japan,4.1967851907408,325,497,524,2115,2855,10848,16253,39219,27494,46536
41,N/A,The Pianist,lowbrow,Roman Polanski,2002,113139,"['War', 'Drama']",France,4.19717338848673,144,259,177,1019,1274,7266,11894,37773,24279,29054
42,N/A,Tampopo,lowbrow,Juzo Itami,1985,18058,['Comedy'],Japan,4.19822239450659,19,27,29,123,242,993,2156,5941,4087,4440
43,N/A,The Land,lowbrow,Youssef Chahine,1969,741,['Drama'],Egypt,4.23481781376518,0,4,3,10,13,36,80,211,150,234
44,N/A,Coco,lowbrow,Lee Unkrich,2017,301252,"['Fantasy', 'Family', 'Adventure', 'Animation', 'Comedy']",USA,4.18880870500445,308,760,567,3426,4492,25265,32646,92683,48605,92506
