,TSPDT Rank,Title,Tier,Director,Year,RateCount,Genre,Country,Rating,0.5 Rating,1.0 Rating,1.5 Rating,2.0 Rating,2.5 Rating,3.0 Rating,3.5 Rating,4.0 Rating,4.5 Rating,5.0 Rating
338,339,Orpheus,common,Jean Cocteau,1950,7252,"['Fantasy', 'Romance', 'Drama']",France,4.06315499172642,9,12,26,106,161,617,1018,2445,1386,1473
339,340,"I Was Born, But...",common,Yasujirō Ozu,1932,4173,"['Drama', 'Comedy']",Japan,3.9920920201294,2,9,7,37,86,393,731,1567,722,619
340,341,Amadeus,common,Miloš Forman,1984,78084,"['Drama', 'History', 'Music']",USA,4.19779980533784,82,219,161,999,1215,6032,8521,22475,14951,23429
341,342,Tie Xi Qu: West of the Tracks,common,Wang Bing,2002,949,['Documentary'],Netherlands,4.36986301369863,5,3,2,13,16,45,67,185,204,409
342,343,Happy Together,common,Wong Kar-wai,1997,22663,"['Drama', 'Romance']",Argentina,4.12723381723514,20,48,52,224,383,1636,3027,7616,4515,5142
343,344,The Innocents,common,Jack Clayton,1961,14418,"['Horror', 'Thriller', 'History']",UK,4.06467609932029,7,28,50,164,280,1241,2105,4868,2935,2740
345,346,I Am Cuba,common,Mikhail Kalatozov,1964,5686,['Drama'],Cuba,4.25474850510025,11,17,12,55,82,325,596,1497,1354,1739
347,348,The Green Ray,common,Éric Rohmer,1986,8403,"['Romance', 'Drama']",France,4.10323693918838,17,39,27,115,161,658,1158,2522,1772,1934
349,350,The Silence of the Lambs,common,Jonathan Demme,1991,323619,"['Thriller', 'Horror', 'Drama', 'Crime']",USA,4.32194648645475,181,466,311,2113,2353,17879,25070,98248,63693,113308
353,354,Suspiria,common,Dario Argento,1977,93075,['Horror'],Italy,3.95884501745904,220,494,545,2150,2897,10593,14466,28434,14061,19217
354,355,Dogville,common,Lars von Trier,2003,38581,"['Drama', 'Crime', 'Thriller']",Denmark,4.05129467872787,232,431,279,956,964,3121,4266,11137,7603,9592
358,359,Brokeback Mountain,common,Ang Lee,2005,119738,"['Romance', 'Drama']",Canada,4.02070771183751,350,654,458,2313,2436,12931,16109,38967,18896,26625
